sku,name,description,categoryId,price,image
'IT000019','QLED Gaming Monitor','Gaming QLED monitor with high contrast ratio.',2,149,'https://www.awd-it.co.uk/media/catalog/product/x/g/xg22va.jpg'
'IT000020','Oppo 2024','Budget-friendly smartphone with essential features.',1,1099,'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRRMbL8UGCIS6PzGUI2k2v0rNanpbq868FAqg&s'
'IT000021','QLED Gaming Monitor','OLED monitor with incredible color accuracy.',2,449,'https://www.awd-it.co.uk/media/catalog/product/x/g/xg22va.jpg'
'IT000022','LG UltraGear 32"','Curved monitor for immersive viewing experience.',2,449,'https://m.media-amazon.com/images/I/81F6CeKEkzL._AC_UF1000,1000_QL80_.jpg'
'IT000023','Amazon Fire HD 10','Tablet designed for on-the-go professionals.',4,299,'https://images-cdn.ubuy.co.id/64c6221783bbd74f26794919-lenovo-tab-m10-plus-3rd-gen-10-tablet.jpg'
'IT000024','BenQ EyeCare 24"','Curved monitor for immersive viewing experience.',2,249,'https://m.media-amazon.com/images/I/717DJQ2or6L.jpg'
'IT000025','Alienware Aurora R15','Gaming computer designed for serious gamers.',5,1999,'https://images-cdn.ubuy.co.in/64f45682c6e13a6a3064d0ec-viprtech-gaming-pc-computer-desktop.jpg'
'IT000026','Asus ROG','Professional laptop for work and productivity.',3,599,'https://m.media-amazon.com/images/I/71dP5ll6V-L._AC_UF1000,1000_QL80_.jpg'
'IT000027','Ergonomic Office Chair','Durable backpack for carrying laptops and accessories.',6,99,'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-5qNizLBZeQQoio1mPI0R3DhgBVuqQCRijQ&s'
'IT000028','ASUS ZenPad 10','Lightweight tablet with high-resolution display.',4,699,'https://images-cdn.ubuy.co.in/633b51122af1ce605a57ae50-10-1.jpg'
'IT000029','Mechanical Keyboard','Sturdy mobile holder with adjustable angles.',6,29,'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-5qNizLBZeQQoio1mPI0R3DhgBVuqQCRijQ&s'
'IT000030','Dell UltraSharp 4K','Top-tier curved screen for work and play.',2,349,'https://www.awd-it.co.uk/media/catalog/product/x/g/xg22va.jpg'
'IT000031','Samsung Galaxy Book3','Powerful gaming laptop with the latest GPU.',3,1499,'https://uaedubai-bucket.s3.me-central-1.amazonaws.com/wp-content/uploads/2024/06/HP-OMEN-16t-Gaming-Laptop_uaedubai.ae_3.gif'
'IT000032','HP Omen 45L','Powerful PC for immersive gaming and VR.',5,2499,'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6544/6544421_sd.jpg;maxHeight=640;maxWidth=550;format=webp'
'IT000033','Vivo X90 Pro','Flagship mobile with stunning camera and battery life.',1,1099,'https://microless.com/cdn/products/02158e7fd12d63334e5e21e8276c540a-hi.jpg'
'IT000034','Noise-Cancelling Headphones','Gaming mouse for precision and comfort.',6,29,'https://m.media-amazon.com/images/I/61eYIZCU3EL._AC_UF1000,1000_QL80_.jpg'
'IT000035','DELL Latitude','Stylish and powerful laptop for everyday use.',3,1999,'https://images.unsplash.com/photo-1558864559-ed673ba3610b?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Nnx8ZGVsbHxlbnwwfHwwfHx8MA%3D%3D'
'IT000036','Oppo 2024','High-performance smartphone for multitasking.',1,1099,'https://microless.com/cdn/products/02158e7fd12d63334e5e21e8276c540a-hi.jpg'
'IT000037','Dell UltraSharp 4K','Curved monitor for immersive viewing experience.',2,149,'https://m.media-amazon.com/images/I/81F6CeKEkzL._AC_UF1000,1000_QL80_.jpg'
'IT000038','Razer Tomahawk','Prebuilt gaming desktop with top-tier performance.',5,999,'https://images-cdn.ubuy.co.in/64f45682c6e13a6a3064d0ec-viprtech-gaming-pc-computer-desktop.jpg'
'IT000039','Adjustable Phone Stand','Sturdy mobile holder with adjustable angles.',6,99,'https://m.media-amazon.com/images/I/71Ez1VpSRNL._AC_UF1000,1000_QL80_.jpg'
'IT000040','USB-C Hub 8-in-1','Sturdy mobile holder with adjustable angles.',6,99,'https://m.media-amazon.com/images/I/51aVdvZyiBL.jpg'
'IT000041','Razer Tomahawk','Customizable gaming station with extreme specs.',5,2499,'https://images-cdn.ubuy.co.in/64f45682c6e13a6a3064d0ec-viprtech-gaming-pc-computer-desktop.jpg'
'IT000042','Portable Charger 20,000mAh','Durable backpack for carrying laptops and accessories.',6,79,'https://m.media-amazon.com/images/I/71Ez1VpSRNL._AC_UF1000,1000_QL80_.jpg'
'IT000043','Oppo 2024','Budget-friendly smartphone with essential features.',1,899,'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRRMbL8UGCIS6PzGUI2k2v0rNanpbq868FAqg&s'
'IT000044','Bluetooth Speaker','Durable backpack for carrying laptops and accessories.',6,99,'https://m.media-amazon.com/images/I/61eYIZCU3EL._AC_UF1000,1000_QL80_.jpg'
'IT000045','QLED Gaming Monitor','OLED monitor with incredible color accuracy.',2,149,'https://www.awd-it.co.uk/media/catalog/product/x/g/xg22va.jpg'
'IT000046','Vivo X90 Pro','Latest smartphone with cutting-edge technology.',1,1299,'https://consumer.huawei.com/content/dam/huawei-cbg-site/common/mkt/plp-x/phones/winter-2024-new-product-launch/phones-new/images/all-phones/all-huawei-nova-y72.png'
'IT000047','Acer Swift 3','Touchscreen laptop for creative professionals.',3,1299,'https://www.hp.com/ca-en/shop/Html/Merch/Images/c08505208_500x367.jpg'
'IT000048','Asus ROG','Stylish and powerful laptop for everyday use.',3,1999,'https://www.hp.com/ca-en/shop/Html/Merch/Images/c08505208_500x367.jpg'
'IT000049','HP Omen 45L','Customizable gaming station with extreme specs.',5,2499,'https://assets.corsair.com/image/upload/f_auto,q_auto/products/Systems/i7600/gallery/VENGEANCE_i7600_01.png'
'IT000050','Vivo X90 Pro','Latest smartphone with cutting-edge technology.',1,1299,'https://consumer.huawei.com/content/dam/huawei-cbg-site/common/mkt/plp-x/phones/winter-2024-new-product-launch/phones-new/images/all-phones/all-huawei-nova-y72.png'
'IT000051','Google Pixelbook Go','Professional laptop for work and productivity.',3,599,'https://m.media-amazon.com/images/I/71dP5ll6V-L._AC_UF1000,1000_QL80_.jpg'
'IT000052','Dell G5 Gaming','Prebuilt gaming desktop with top-tier performance.',5,1499,'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6544/6544421_sd.jpg;maxHeight=640;maxWidth=550;format=webp'
'IT000053','Mechanical Keyboard','Gaming mouse for precision and comfort.',6,79,'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-5qNizLBZeQQoio1mPI0R3DhgBVuqQCRijQ&s'
'IT000054','iPhone 14 Pro','Flagship mobile with stunning camera and battery life.',1,899,'https://microless.com/cdn/products/02158e7fd12d63334e5e21e8276c540a-hi.jpg'
'IT000055','Nokia T20','Sleek and affordable tablet with modern features.',4,499,'https://m.media-amazon.com/images/I/71-hJGtkLWL.jpg'
'IT000056','Samsung Tablet','Sleek and affordable tablet with modern features.',4,299,'https://image.made-in-china.com/202f0j00RMHcLnUFaaoQ/2K-Octa-Core-Tablet-PC-RAM-8GB-ROM-256GB-Flat-Computer-Dual-SIM-10-9-Inch.jpg'
'IT000057','Ergonomic Office Chair','Durable backpack for carrying laptops and accessories.',6,99,'https://m.media-amazon.com/images/I/51aVdvZyiBL.jpg'
'IT000058','Huawei X30','Latest smartphone with cutting-edge technology.',1,1099,'https://microless.com/cdn/products/02158e7fd12d63334e5e21e8276c540a-hi.jpg'
'IT000059','iPhone 16 Pro Max','Latest smartphone with cutting-edge technology.',1,499,'https://consumer.huawei.com/content/dam/huawei-cbg-site/common/mkt/plp-x/phones/winter-2024-new-product-launch/phones-new/images/all-phones/all-huawei-mate-x3.png'
'IT000060','DELL Latitude','Professional laptop for work and productivity.',3,599,'https://m.media-amazon.com/images/I/81bc8mA3nKL._AC_UF1000,1000_QL80_.jpg'
'IT000061','LG UltraGear 32"','High-resolution gaming monitor with fast refresh rates.',2,549,'https://www.awd-it.co.uk/media/catalog/product/x/g/xg22va.jpg'
'IT000062','Sony Xperia 1 V','Latest smartphone with cutting-edge technology.',1,1099,'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRRMbL8UGCIS6PzGUI2k2v0rNanpbq868FAqg&s'
'IT000063','Noise-Cancelling Headphones','Ergonomic keyboard with customizable keys.',6,99,'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_fKIibp4yWY7fvyT5a498kr7E1njaIxEJ_w&s'
'IT000064','Acer Predator X34','High-resolution gaming monitor with fast refresh rates.',2,149,'https://m.media-amazon.com/images/I/71Y+D6LiODL._AC_UF1000,1000_QL80_.jpg'
'IT000065','Webcam 1080p HD','Ergonomic keyboard with customizable keys.',6,29,'https://m.media-amazon.com/images/I/71Ez1VpSRNL._AC_UF1000,1000_QL80_.jpg'
'IT000066','BenQ EyeCare 24"','Curved monitor for immersive viewing experience.',2,149,'https://images.philips.com/is/image/philipsconsumer/3de73978f3a44b028eedb01f00dbbe5d'
'IT000067','28" OLED','Gaming QLED monitor with high contrast ratio.',2,549,'https://m.media-amazon.com/images/I/71Y+D6LiODL._AC_UF1000,1000_QL80_.jpg'
'IT000068','QLED Gaming Monitor','OLED monitor with incredible color accuracy.',2,149,'https://m.media-amazon.com/images/I/71Y+D6LiODL._AC_UF1000,1000_QL80_.jpg'
'IT000069','MacBook','Powerful gaming laptop with the latest GPU.',3,599,'https://images.unsplash.com/photo-1558864559-ed673ba3610b?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Nnx8ZGVsbHxlbnwwfHwwfHx8MA%3D%3D'
