sku,name,description,categoryId,price,image
'IT000020','Gaming Monitor','OLED monitor with incredible color accuracy.',2,349,'https://www.awd-it.co.uk/media/catalog/product/x/g/xg22va.jpg'
'IT000021','Nokia T20','Tablet designed for on-the-go professionals.',4,299,'https://image.made-in-china.com/202f0j00RMHcLnUFaaoQ/2K-Octa-Core-Tablet-PC-RAM-8GB-ROM-256GB-Flat-Computer-Dual-SIM-10-9-Inch.jpg'
'IT000022','iBUYPOWER Trace MR','Prebuilt gaming desktop with top-tier performance.',5,2999,'https://images-cdn.ubuy.co.in/64f45682c6e13a6a3064d0ec-viprtech-gaming-pc-computer-desktop.jpg'
'IT000023','USB-C Hub 8-in-1','Sturdy mobile holder with adjustable angles.',6,79,'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-5qNizLBZeQQoio1mPI0R3DhgBVuqQCRijQ&s'
'IT000024','Samsung Curved Screen','Gaming QLED monitor with high contrast ratio.',2,149,'https://m.media-amazon.com/images/I/717DJQ2or6L.jpg'
'IT000025','Google Pixel 8','Latest smartphone with cutting-edge technology.',1,1299,'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRRMbL8UGCIS6PzGUI2k2v0rNanpbq868FAqg&s'
'IT000026','HP Omen 45L','Powerful PC for immersive gaming and VR.',25,1999,'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6544/6544421_sd.jpg;maxHeight=640;maxWidth=550;format=webp'
'IT000027','Webcam 1080p HD','Ergonomic keyboard with customizable keys.',6,149,'https://m.media-amazon.com/images/I/51aVdvZyiBL.jpg'
'IT000028','iPad','Lightweight tablet with high-resolution display.',4,,'https://images-cdn.ubuy.co.in/633b51122af1ce605a57ae50-10-1.jpg'
'IT000029','iPad','Sleek and affordable tablet with modern features.',4,299,'https://images-cdn.ubuy.co.in/633b51122af1ce605a57ae50-10-1.jpg'
'IT000030','Corsair Vengeance','Gaming computer designed for serious gamers.',5,999,'https://m.media-amazon.com/images/I/81jhBeNlXcL.jpg'
'IT000031','Realme Pad X','Sleek and affordable tablet with modern features.',4,399,'https://images-cdn.ubuy.co.in/633b51122af1ce605a57ae50-10-1.jpg'
'IT000032','Oppo 2024','Budget-friendly smartphone with essential features.',1,699,'https://amsprod.blob.core.windows.net/assets/a5b9b89c-ba44-4afb-9035-eaee28767699_400_400.png'
'IT000033','Google Pixelbook Go','Powerful gaming laptop with the latest GPU.',3,1499,'https://uaedubai-bucket.s3.me-central-1.amazonaws.com/wp-content/uploads/2024/06/HP-OMEN-16t-Gaming-Laptop_uaedubai.ae_3.gif'
'IT000034','Portable Charger 20,000mAh','Sturdy mobile holder with adjustable angles.',6,79,'https://m.media-amazon.com/images/I/71Ez1VpSRNL._AC_UF1000,1000_QL80_.jpg'
'IT000035','Gaming Mouse','Ergonomic keyboard with customizable keys.',6,99,'https://m.media-amazon.com/images/I/61eYIZCU3EL._AC_UF1000,1000_QL80_.jpg'
'IT000036','9 Inch Tablet','Powerful tablet for entertainment and productivity.',4,499,'https://image.made-in-china.com/202f0j00RMHcLnUFaaoQ/2K-Octa-Core-Tablet-PC-RAM-8GB-ROM-256GB-Flat-Computer-Dual-SIM-10-9-Inch.jpg'
'IT000037','Microsoft Surface Pro 8','Compact tablet for everyday use.',4,499,'https://m.media-amazon.com/images/I/71-hJGtkLWL.jpg'
'IT000038','NZXT Streaming PC','Gaming computer designed for serious gamers.',5,1999,'https://assets.corsair.com/image/upload/f_auto,q_auto/products/Systems/i7600/gallery/VENGEANCE_i7600_01.png'
'IT000039','Huawei X30','Budget-friendly smartphone with essential features.',1,699,'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRRMbL8UGCIS6PzGUI2k2v0rNanpbq868FAqg&s'
'IT000040','ASUS ZenPad 10','Sleek and affordable tablet with modern features.',4,499,'https://images-cdn.ubuy.co.in/633b51122af1ce605a57ae50-10-1.jpg'
'IT000041','Lenovo Tab P12','Powerful tablet for entertainment and productivity.',4,199,'https://images-cdn.ubuy.co.in/633b51122af1ce605a57ae50-10-1.jpg'
'IT000042','Lenovo Tab P12','Sleek and affordable tablet with modern features.',4,499,'https://images-cdn.ubuy.co.id/64c6221783bbd74f26794919-lenovo-tab-m10-plus-3rd-gen-10-tablet.jpg'
'IT000043','Microsoft Surface Pro 8','Lightweight tablet with high-resolution display.',4,499,'https://m.media-amazon.com/images/I/61FUEXIELzL._AC_UF1000,1000_QL80_.jpg'
'IT000044','HP Omen 45L','Gaming computer designed for serious gamers.',5,2499,'https://m.media-amazon.com/images/I/81jhBeNlXcL.jpg'
'IT000045','LG UltraGear 32"','Curved monitor for immersive viewing experience.',2,149,'https://images.philips.com/is/image/philipsconsumer/3de73978f3a44b028eedb01f00dbbe5d'
'IT000046','24" Curved','High-resolution gaming monitor with fast refresh rates.',2,149,'https://m.media-amazon.com/images/I/81F6CeKEkzL._AC_UF1000,1000_QL80_.jpg'
'IT000047','MacBook','Portable and lightweight laptop with long battery life.',3,'https://m.media-amazon.com/images/I/81bc8mA3nKL._AC_UF1000,1000_QL80_.jpg'
'IT000048','Portable Charger 20,000mAh','Ergonomic keyboard with customizable keys.',6,99,'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_fKIibp4yWY7fvyT5a498kr7E1njaIxEJ_w&s'
'IT000049','9 Inch Tablet','Lightweight tablet with high-resolution display.',4,399,'https://images-cdn.ubuy.co.id/64c6221783bbd74f26794919-lenovo-tab-m10-plus-3rd-gen-10-tablet.jpg'
'IT000050','Corsair Vengeance','Gaming computer designed for serious gamers.',5,1999,'https://m.media-amazon.com/images/I/81IzGxm6ZQL.jpg'
'IT000051','Dell UltraSharp 4K','Gaming QLED monitor with high contrast ratio.',2,349,'https://m.media-amazon.com/images/I/717DJQ2or6L.jpg'
'IT000052','Gaming Mouse','High-quality headphones with noise cancellation.',6,29,'https://m.media-amazon.com/images/I/61eYIZCU3EL._AC_UF1000,1000_QL80_.jpg'
'IT000053','USB-C Hub 8-in-1','Sturdy mobile holder with adjustable angles.',6,99,'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_fKIibp4yWY7fvyT5a498kr7E1njaIxEJ_w&s'
'IT000054','Huawei X30','Latest smartphone with cutting-edge technology.',1,899,'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRRMbL8UGCIS6PzGUI2k2v0rNanpbq868FAqg&s'
'IT000055','Bluetooth Speaker','Sturdy mobile holder with adjustable angles.',6,149,'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-5qNizLBZeQQoio1mPI0R3DhgBVuqQCRijQ&s'
'IT000056','Samsung S23','A phone for every occasion, sleek and powerful.',1,499,'https://consumer.huawei.com/content/dam/huawei-cbg-site/common/mkt/plp-x/phones/winter-2024-new-product-launch/phones-new/images/all-phones/all-huawei-nova-y72.png'
'IT000057','Ergonomic Office Chair','High-quality headphones with noise cancellation.',6,99,'https://m.media-amazon.com/images/I/61eYIZCU3EL._AC_UF1000,1000_QL80_.jpg'
'IT000058','Samsung S23','High-performance smartphone for multitasking.',1,899,'https://consumer.huawei.com/content/dam/huawei-cbg-site/common/mkt/plp-x/phones/winter-2024-new-product-launch/phones-new/images/all-phones/all-huawei-nova-y72.png'
'IT000059','Samsung Tablet','Tablet designed for on-the-go professionals.',4,499,'https://image.made-in-china.com/202f0j00RMHcLnUFaaoQ/2K-Octa-Core-Tablet-PC-RAM-8GB-ROM-256GB-Flat-Computer-Dual-SIM-10-9-Inch.jpg'
'IT000060','Microsoft Surface Pro 8','Tablet designed for on-the-go professionals.',4,499,'https://image.made-in-china.com/202f0j00RMHcLnUFaaoQ/2K-Octa-Core-Tablet-PC-RAM-8GB-ROM-256GB-Flat-Computer-Dual-SIM-10-9-Inch.jpg'
'IT000061','Lenovo Tab P12','Lightweight tablet with high-resolution display.',4,299,'https://image.made-in-china.com/202f0j00RMHcLnUFaaoQ/2K-Octa-Core-Tablet-PC-RAM-8GB-ROM-256GB-Flat-Computer-Dual-SIM-10-9-Inch.jpg'
'IT000062','QLED Gaming Monitor','Curved monitor for immersive viewing experience.',2,449,'https://images.philips.com/is/image/philipsconsumer/3de73978f3a44b028eedb01f00dbbe5d'
'IT000063','Ergonomic Office Chair','Ergonomic keyboard with customizable keys.',6,99,'https://m.media-amazon.com/images/I/51aVdvZyiBL.jpg'
'IT000064','Mechanical Keyboard','High-quality headphones with noise cancellation.',6,99,'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-5qNizLBZeQQoio1mPI0R3DhgBVuqQCRijQ&s'
'IT000065','Huawei X30','Budget-friendly smartphone with essential features.',1,699,'https://microless.com/cdn/products/02158e7fd12d63334e5e21e8276c540a-hi.jpg'
'IT000066','iPhone 14 Pro','High-performance smartphone for multitasking.',1,1299,'https://microless.com/cdn/products/02158e7fd12d63334e5e21e8276c540a-hi.jpg'
'IT000067','Gaming Monitor','Top-tier curved screen for work and play.',2,149,'https://images.philips.com/is/image/philipsconsumer/3de73978f3a44b028eedb01f00dbbe5d'
'IT000068','Asus ROG','Touchscreen laptop for creative professionals.',3,1299,'https://uaedubai-bucket.s3.me-central-1.amazonaws.com/wp-content/uploads/2024/06/HP-OMEN-16t-Gaming-Laptop_uaedubai.ae_3.gif'
'IT000069','Gaming Monitor','Top-tier curved screen for work and play.',2,449,'https://www.awd-it.co.uk/media/catalog/product/x/g/xg22va.jpg'
